id	name	name_ascii
1	Tokyo	Tokyo
2	Jakarta	Jakarta
3	Delhi	Delhi
4	Mumbai	Mumbai
5	Manila	Manila
6	Shanghai	Shanghai
7	São Paulo	Sao Paulo
8	Seoul	Seoul
9	Mexico City	Mexico City
10	Guangzhou	Guangzhou
11	Beijing	Beijing
12	Cairo	Cairo
13	New York	New York
14	Kolkāta	Kolkata
15	Moscow	Moscow
16	Bangkok	Bangkok
17	Buenos Aires	Buenos Aires
18	Shenzhen	Shenzhen
19	Dhaka	Dhaka
20	Lagos	Lagos
21	Istanbul	Istanbul
22	Ōsaka	Osaka
23	Karachi	Karachi
24	Bangalore	Bangalore
25	Tehran	Tehran
26	Kinshasa	Kinshasa
27	Ho Chi Minh City	Ho Chi Minh City
28	Los Angeles	Los Angeles
29	Rio de Janeiro	Rio de Janeiro
30	Nanyang	Nanyang
31	Baoding	Baoding
32	Chennai	Chennai
33	Chengdu	Chengdu
34	Lahore	Lahore
35	Paris	Paris
36	London	London
37	Linyi	Linyi
38	Tianjin	Tianjin
39	Shijiazhuang	Shijiazhuang
40	Zhoukou	Zhoukou
41	Lima	Lima
42	Hyderābād	Hyderabad
43	Handan	Handan
44	Bogotá	Bogota
45	Weifang	Weifang
46	Nagoya	Nagoya
47	Wuhan	Wuhan
48	Heze	Heze
49	Ganzhou	Ganzhou
50	Tongshan	Tongshan
51	Chicago	Chicago
52	Luanda	Luanda
53	Changsha	Changsha
54	Fuyang	Fuyang
55	Kuala Lumpur	Kuala Lumpur
56	Jining	Jining
57	Dongguan	Dongguan
58	Jinan	Jinan
59	Foshan	Foshan
60	Hanoi	Hanoi
61	Pune	Pune
62	Chongqing	Chongqing
63	Changchun	Changchun
64	Zhumadian	Zhumadian
65	Ningbo	Ningbo
66	Cangzhou	Cangzhou
67	Nanjing	Nanjing
68	Hefei	Hefei
69	Ahmedabad	Ahmedabad
70	Hong Kong	Hong Kong
71	Zhanjiang	Zhanjiang
72	Shaoyang	Shaoyang
73	Hengyang	Hengyang
74	Khartoum	Khartoum
75	Nantong	Nantong
76	Yancheng	Yancheng
77	Nanning	Nanning
78	Xi’an	Xi'an
79	Shenyang	Shenyang
80	Tangshan	Tangshan
81	Santiago	Santiago
82	Zhengzhou	Zhengzhou
83	Shangqiu	Shangqiu
84	Yantai	Yantai
85	Riyadh	Riyadh
86	Dar es Salaam	Dar es Salaam
87	Xinyang	Xinyang
88	Shangrao	Shangrao
89	Luoyang	Luoyang
90	Bijie	Bijie
91	Quanzhou	Quanzhou
92	Hangzhou	Hangzhou
93	Miami	Miami
94	Huanggang	Huanggang
95	Maoming	Maoming
96	Kunming	Kunming
97	Nanchong	Nanchong
98	Zunyi	Zunyi
99	Jieyang	Jieyang
100	Lu’an	Lu'an
101	Yichun	Yichun
102	Madrid	Madrid
103	Changde	Changde
104	Taizhou	Taizhou
105	Liaocheng	Liaocheng
106	Qujing	Qujing
107	Sūrat	Surat
108	Baghdad	Baghdad
109	Qingdao	Qingdao
110	Singapore	Singapore
111	Dallas	Dallas
112	Dazhou	Dazhou
113	Suzhou	Suzhou
114	Xiangyang	Xiangyang
115	Philadelphia	Philadelphia
116	Giza	Giza
117	Nairobi	Nairobi
118	Nangandao	Nangandao
119	Ankara	Ankara
120	Tai’an	Tai'an
121	Yulin	Yulin
122	Dezhou	Dezhou
123	Houston	Houston
124	Atlanta	Atlanta
125	Yongzhou	Yongzhou
126	Rangoon	Rangoon
127	Toronto	Toronto
128	Suihua	Suihua
129	Washington	Washington
130	Qiqihar	Qiqihar
131	Jinhua	Jinhua
132	Saint Petersburg	Saint Petersburg
133	Shantou	Shantou
134	Sydney	Sydney
135	Weinan	Weinan
136	Suqian	Suqian
137	Guadalajara	Guadalajara
138	Suzhou	Suzhou
139	Fuzhou	Fuzhou
140	Zhaotong	Zhaotong
141	Pudong	Pudong
142	Belo Horizonte	Belo Horizonte
143	Zhangzhou	Zhangzhou
144	Bozhou	Bozhou
145	Melbourne	Melbourne
146	Nanchang	Nanchang
147	Xianyang	Xianyang
